Date,value,Model Code
2016-06-01,0.52125,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-02,0.505,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-03,0.49875,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-06,0.5075,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-07,0.505,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-08,0.53,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-09,0.5309,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-10,0.5175,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-13,0.52,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-14,0.5025,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2016-06-15,0.53,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
