Date,Period,Volume,total,price
16/10/2013,Week 43 '13 Baseload,5,845,37.9
11/10/2013,Day-ahead Baseload,25,600,48.75
4/08/2014,September '14 Baseload,10,7200,34.85
8/06/2015,July '15 Baseload,10,7440,30
25/10/2013,Day-ahead Baseload,10,240,25
25/03/2014,Day-ahead Baseload,10,240,35.6
21/10/2014,November '14 Baseload,25,18000,35.9
12/06/2015,Weekend Baseload,10,480,21
3/12/2013,Day-ahead Baseload,25,600,43.5
29/04/2014,Day-ahead Baseload,10,240,39.25
15/04/2015,May '15 Baseload,20,14880,31.1
6/10/2014,Day-ahead Baseload,10,240,33.25
21/10/2015,Day-ahead Baseload,5,120,36.5
12/11/2013,Day-ahead Baseload,10,240,50
23/01/2014,Day-ahead Extended-Peaks,5,80,56.4
24/02/2014,Day-ahead Baseload,5,120,33.75
12/11/2015,December '15 Baseload,50,37200,33.75
4/11/2015,Day-ahead Baseload,30,720,42.35
10/12/2014,Day-ahead Baseload,5,120,37.9
10/12/2014,Day-ahead Baseload,5,120,37.3
14/06/2016,July '16 Baseload,3,2232,30.5
16/10/2013,Day-ahead Baseload,5,120,34.5
11/09/2015,Day-ahead Baseload,20,480,35.5
11/02/2014,March '14 Baseload,40,29720,34.25
3/09/2015,Day-ahead Baseload,10,240,40
4/04/2014,Day-ahead Baseload,10,240,36.5
6/06/2016,Q3 '16 Baseload,5,11040,31.15
2/10/2013,Week 41 '13 Baseload,10,1680,47.5
25/03/2015,April '15 Baseload,30,21600,33.4
16/06/2014,Day-ahead Baseload,5,120,36.35
5/12/2014,Q1 '15 Baseload,5,10795,37.35
30/12/2014,Week 3 '15 Baseload,10,1680,34.5
4/02/2014,Day-ahead Baseload,5,120,36.5
7/01/2016,Year 2017 Baseload,10,87600,28.5
2/10/2014,November '14 Baseload,10,7200,37.2
20/06/2014,July '14 Baseload,10,7440,34.9
4/08/2014,Q1 '15 Baseload,25,53975,38.25
4/11/2015,Day-ahead Baseload,15,360,42.3
14/07/2016,Year 2017 Baseload,20,175200,30.1
19/01/2015,Week 5 '15 Baseload,5,840,36.5
26/09/2016,Week 40 '16 Baseload,10,1680,34
23/10/2013,Day-ahead Baseload,10,240,41.25
18/04/2016,Day-ahead Baseload,10,240,24
20/12/2013,Year 2015 Baseload,5,43800,36.4
12/03/2015,April '15 Baseload,10,7200,34
23/11/2015,Day-ahead Baseload,3,72,38
4/03/2014,Day-ahead Baseload,5,120,45.3
13/10/2014,Day-ahead Baseload,10,240,42.25
18/02/2014,Day-ahead Baseload,5,120,42
16/09/2015,Day-ahead Baseload,10,240,42
25/06/2015,Day-ahead Baseload,15,360,36.5
12/11/2015,Year 2017 Baseload,5,43800,30.3
8/08/2013,Day-ahead Baseload,10,240,56.5
13/11/2015,Weekend Baseload,5,240,21.5
