Date,Period,Volume,total,price
7/02/2014,March '14 Baseload,10,7430,34
28/03/2014,Sunday Baseload,10,230,21.4
11/10/2013,Day-ahead Baseload,25,600,49
31/01/2014,Day-ahead Baseload,5,120,44.2
3/07/2015,Tuesday Baseload,10,240,50
9/09/2013,Week 38 '13 Baseload,10,1680,38.75
1/07/2016,Weekend Baseload,25,1200,25
9/09/2014,Year 2015 Baseload,10,87600,35.7
17/12/2013,Day-ahead Baseload,10,240,49.25
25/06/2015,Day-ahead Baseload,5,120,36.6
13/07/2015,Day-ahead Baseload,25,600,45.75
15/01/2015,Year 2017 Baseload,5,43800,32.9
23/10/2014,November '14 Baseload,10,7200,35.15
30/11/2015,Wednesday Baseload,25,600,38
9/10/2013,Day-ahead Baseload,10,240,55.5
28/10/2013,Day-ahead Baseload,5,120,34.5
15/04/2014,Day-ahead Baseload,10,240,40.8
30/09/2014,December '14 Baseload,10,7440,35.5
19/12/2013,Weekend Baseload,5,240,21
11/02/2015,Year 2016 Baseload,5,43920,34.75
29/10/2014,November '14 Baseload,3,2160,35.5
25/03/2014,Q2 '14 Baseload,10,21840,30.55
21/10/2014,Week 44 '14 Baseload,25,4200,34.5
4/02/2014,Day-ahead Baseload,10,240,36.25
29/10/2013,Day-ahead Baseload,25,600,41
30/09/2014,Day-ahead Baseload,10,240,46.9
22/05/2015,June '15 Baseload,5,3600,30.05
6/10/2015,November '15 Baseload,20,14400,36.3
15/01/2016,Weekend Baseload,10,480,31
28/10/2013,Day-ahead Peaks,5,60,41
9/08/2013,Week 33 '13 Baseload,5,840,37
9/01/2014,Day-ahead Baseload,5,120,29
1/08/2014,Week 32 '14 Baseload,10,1680,32
23/12/2014,Weekend Baseload,10,480,27
10/01/2014,February '14 Baseload,10,6720,41.65
29/01/2016,February '16 Baseload,10,6960,32.6
8/01/2014,Day-ahead Baseload,5,120,29.75
30/10/2014,November '14 Baseload,10,7200,35.8
2/09/2014,Weekend Baseload,30,1440,26.5
2/04/2015,Week 15 '15 Baseload,10,1680,33.75
8/06/2015,July '15 Baseload,10,7440,30
12/11/2014,December '14 Baseload,10,7440,34.5
29/09/2014,Day-ahead Peaks,5,60,54.75
17/12/2014,Friday Baseload,50,1200,37
23/10/2013,Week 44 '13 Baseload,10,1680,31
7/11/2014,Sunday Baseload,10,240,26
21/01/2014,Day-ahead Baseload,10,240,47.25
4/08/2014,September '14 Baseload,10,7200,34.85
13/07/2015,August '15 Baseload,5,3720,31.7
16/02/2015,Day-ahead Baseload,10,240,44.1
